page,price,location,alapterulet,szobak,erkely
1,260 000 Ft/hó,"Budapest II. kerület, Pasaréti út",42 m2,2,1 m2
1,,,,,
1,,,,,
1,260 000 Ft/hó,"Budapest II. kerület, Pasaréti út 139.b",42 m2,2,1 m2
1,260 000 Ft/hó,"Budapest II. kerület, Pasaréti út 139b",45 m2,2,1 m2
1,660 000 Ft/hó,"Budapest XIII. kerület, Úszódaru utca 2.",100 m2,3,33 m2
1,410 000 Ft/hó,"Budapest XIII. kerület, Bessenyei utca 8-10.",71 m2,3,28 m2
1,350 000 Ft/hó,"Budapest XI. kerület, Felsőhatár utca 2.",50 m2,2,12 m2
1,340 000 Ft/hó,"Budapest XIII. kerület, Csele utca 5A",40 m2,1,8 m2
1,1 100 000 Ft/hó,"Budapest III. kerület, Jablonka út",105 m2,4,60 m2
1,300 000 Ft/hó,"Budapest XIII. kerület, Danubius utca",47 m2,2,12 m2
1,400 000 Ft/hó,"Budapest XIII. kerület, Szent László út",75 m2,2,4 m2
1,200 000 Ft/hó,"Budapest VI. kerület, Izabella utca 75.",22 m2,1,
1,320 000 Ft/hó,"Budapest XIII. kerület, Csata utca 31-33.",54 m2,2,9 m2
1,240 000 Ft/hó,"Budapest XI. kerület, Villányi út 30.",64 m2,3,3 m2
1,420 000 Ft/hó,"Budapest VIII. kerület, Illés utca 6.",74 m2,3,12 m2
1,512 500 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",93 m2,4,14 m2
1,450 000 Ft/hó,"Budapest XI. kerület, Rahó utca 3-5.",87 m2,4,78 m2
1,280 000 Ft/hó,"Budapest IX. kerület, Üllői út",48 m2,2,
1,700 000 Ft/hó,"Budapest XIII. kerület, Danubius utca 14.",88 m2,2,20 m2
1,1 276 064 Ft/hó,"Budapest III. kerület, Perényi út",120 m2,4,30 m2
1,200 000 Ft/hó,"Budapest XIV. kerület, Rákospatak utca",34 m2,1 + 1 fél,2 m2
2,175 000 Ft/hó,"Budapest VIII. kerület, Orczy út 46-48.",22 m2,1,
2,299 000 Ft/hó,"Budapest XI. kerület, Rahó utca",43 m2,1 + 1 fél,9 m2
2,450 000 Ft/hó,"Budapest XIII. kerület, Bessenyei utca 8-10.",71 m2,3,8 m2
2,230 000 Ft/hó,"Budapest IX. kerület, Dési Huber utca",54 m2,2,4 m2
2,195 000 Ft/hó,"Budapest IX. kerület, Telepy utca",35 m2,1,
2,200 000 Ft/hó,"Budapest XIV. kerület, Szőnyi út",34 m2,1 + 1 fél,2 m2
2,260 000 Ft/hó,"Budapest XIII. kerület, Babér utca",41 m2,2,2 m2
2,1 280 000 Ft/hó,"Budapest III. kerület, Perényi út",120 m2,4,25 m2
2,690 000 Ft/hó,"Budapest XIV. kerület, Kassai utca",220 m2,70 m2,7 + 2 fél
2,390 000 Ft/hó,"Budapest V. kerület, Hercegprímás utca 12.",85 m2,3,2 m2
2,550 000 Ft/hó,"Budapest V. kerület, Honvéd tér",83 m2,3,3 m2
2,275 000 Ft/hó,"Budapest VIII. kerület, Szentkirályi utca 32.",73 m2,1 + 2 fél,
2,300 000 Ft/hó,"Budapest IX. kerület, Tóth Kálmán utca 33.",60 m2,2,3 m2
2,350 000 Ft/hó,"Budapest XIII. kerület, Visegrádi utca 76.",68 m2,2 + 1 fél,
2,275 000 Ft/hó,"Budapest XI. kerület, Szerenád utca",45 m2,1 + 1 fél,
